make,model,year,mileage,condition,price
Nissan,Elantra,2021,108677,1,11740.15
Hyundai,X5,2017,72779,5,21928.05
Chevrolet,Civic,2011,24029,5,33090.55
Toyota,C-Class,2001,64201,2,1000.0
Honda,F-150,2009,37265,1,19736.75
Chevrolet,A4,2003,107916,2,1000.0
Chevrolet,Sorento,2013,179944,3,1000.0
Audi,Elantra,2015,51197,2,21605.15
Audi,F-150,2014,130733,2,1000.0
BMW,Sorento,2007,191252,2,11899.4
BMW,Civic,2013,159782,1,1000.0
Mercedes,Altima,2022,165558,2,35122.1
Ford,Impala,2007,76907,1,28100.65
Toyota,X5,2020,133876,4,2657.2
Toyota,Corolla,2015,69435,3,9816.25
Hyundai,Sorento,2012,45631,1,1000.0
Toyota,Elantra,2017,134038,4,1000.0
Toyota,C-Class,2014,25103,1,1000.0
Ford,Altima,2020,69772,1,11911.4
Nissan,C-Class,2012,131108,3,19544.6
BMW,Elantra,2008,19382,5,22164.9
BMW,C-Class,2014,89291,5,5203.45
Honda,Sorento,2012,106195,1,7151.25
Toyota,A4,2000,139828,2,24604.6
Ford,C-Class,2006,25609,4,17071.55
BMW,Impala,2008,152550,2,16982.5
Ford,Civic,2000,175738,2,10887.1
Kia,Corolla,2011,80683,1,21180.85
Nissan,Sorento,2007,129714,1,9469.3
Toyota,F-150,2010,135330,1,1000.0
Honda,Elantra,2018,76315,1,35303.25
Hyundai,Altima,2016,82834,5,3675.3
BMW,Sorento,2007,131205,1,25295.75
Kia,A4,2002,19153,5,20191.35
Ford,Altima,2002,81325,5,13565.75
Audi,Impala,2000,149071,1,1000.0
Chevrolet,Elantra,2004,60318,3,3051.1
Toyota,Altima,2009,136886,4,4023.7
Toyota,C-Class,2006,120033,2,8868.35
Kia,Sorento,2008,81077,5,35979.15
Ford,Civic,2006,95474,4,20209.3
Mercedes,Elantra,2008,138515,3,1000.0
Toyota,X5,2007,78319,2,15887.05
Mercedes,Impala,2011,130885,2,4685.75
Audi,Corolla,2001,114777,5,6123.15
Kia,Elantra,2000,22368,1,27736.6
Ford,A4,2015,151400,3,20689.0
Ford,Sorento,2022,193014,5,28388.3
Nissan,C-Class,2022,96751,3,17571.45
Chevrolet,Corolla,2004,32306,1,16679.7
BMW,Corolla,2002,175987,1,1000.0
BMW,Impala,2011,42219,5,7982.05
Hyundai,Altima,2007,65279,1,1000.0
Honda,A4,2021,58028,4,33873.6
Kia,Altima,2002,109263,2,1000.0
Audi,C-Class,2000,5126,5,4433.7
Ford,Corolla,2002,57329,3,30385.55
Chevrolet,A4,2004,32632,4,24195.4
Mercedes,A4,2014,114945,5,36822.75
Kia,F-150,2013,60176,1,9380.2
Hyundai,Sorento,2002,180399,1,17677.05
Kia,Corolla,2000,139869,1,1000.0
Hyundai,Corolla,2004,183954,1,6671.3
Ford,A4,2022,149790,3,19522.5
Honda,Altima,2013,39560,4,2738.0
Hyundai,Corolla,2006,81589,2,7679.55
Ford,A4,2008,27116,3,21077.2
Ford,Corolla,2014,172316,3,29573.2
Honda,A4,2014,137717,2,1000.0
BMW,F-150,2009,183595,2,23403.25
Kia,Sorento,2012,129085,1,4880.75
Toyota,A4,2018,122718,3,21397.1
Toyota,Corolla,2006,24256,5,19287.2
Mercedes,C-Class,2016,105158,2,1000.0
Mercedes,Sorento,2019,189245,2,30141.75
Toyota,F-150,2003,173502,4,1000.0
Audi,A4,2004,175354,5,16270.3
Toyota,C-Class,2022,124719,5,28383.05
Mercedes,A4,2006,199446,2,1000.0
Chevrolet,Altima,2012,73244,1,1000.0
Mercedes,Corolla,2014,147766,4,8950.7
Audi,Elantra,2010,61264,5,25955.8
Kia,Impala,2003,62545,2,1000.0
Toyota,Civic,2012,44224,5,4084.8
Honda,Altima,2006,102945,4,10532.75
Chevrolet,C-Class,2018,18224,4,42644.8
Ford,Altima,2021,45738,3,15422.1
Audi,X5,2001,161222,2,1000.0
Mercedes,A4,2009,68731,4,29981.45
Honda,A4,2012,185760,3,15287.0
Hyundai,Civic,2020,144649,3,30022.55
BMW,Civic,2005,13070,5,32811.5
Toyota,X5,2011,131161,5,22943.95
BMW,Corolla,2011,13666,3,11040.7
Audi,Impala,2019,62761,5,3689.95
Hyundai,Elantra,2010,41368,4,11518.6
Hyundai,Elantra,2022,142855,1,1962.25
Hyundai,F-150,2006,46914,4,23491.3
Ford,F-150,2000,132738,3,1000.0
Audi,Corolla,2000,72526,3,12878.7
Kia,F-150,2019,181837,4,14668.15
BMW,F-150,2012,24956,5,3715.2
Kia,X5,2008,51240,5,1000.0
Honda,X5,2002,126008,3,1000.0
Nissan,F-150,2006,173220,2,15462.0
Chevrolet,Altima,2005,99270,5,26670.5
Chevrolet,Sorento,2007,9757,4,39114.15
Kia,Sorento,2008,24097,5,1000.0
Nissan,Corolla,2004,146467,4,8230.65
Nissan,Elantra,2000,152313,3,1000.0
Toyota,Civic,2018,108892,5,19262.4
Honda,Corolla,2009,163768,4,2925.6
Audi,F-150,2011,75480,3,25511.0
Nissan,X5,2014,51163,2,7959.85
Mercedes,A4,2021,24816,4,22145.2
Chevrolet,Altima,2008,185912,2,1000.0
Mercedes,C-Class,2019,57853,2,38306.35
Honda,X5,2016,160989,1,1000.0
Nissan,Sorento,2016,101731,5,40776.45
BMW,X5,2019,157638,4,5861.1
Chevrolet,Altima,2011,67823,2,31700.85
Toyota,Civic,2006,156878,1,24955.1
Toyota,F-150,2001,6759,3,1000.0
Hyundai,A4,2002,178021,4,1000.0
Ford,Sorento,2016,97374,2,13063.3
Nissan,Sorento,2004,138554,5,22327.3
Honda,Impala,2016,29442,1,1000.0
Chevrolet,Elantra,2016,169791,2,2822.45
Ford,Civic,2016,194138,5,29176.1
Honda,Sorento,2001,98501,2,1000.0
Kia,Elantra,2001,7079,4,5300.05
Nissan,Sorento,2021,138789,4,30880.55
Audi,F-150,2022,64676,4,1000.0
Audi,Elantra,2004,164024,1,1000.0
Nissan,Altima,2000,178532,4,4763.4
Hyundai,Impala,2000,95397,5,1000.0
Hyundai,F-150,2018,77847,2,15984.65
Audi,Altima,2001,98607,3,1000.0
BMW,A4,2020,154521,5,33984.95
Chevrolet,Civic,2011,169608,5,7892.6
Audi,Civic,2005,69077,4,1000.0
BMW,C-Class,2022,43258,1,19332.1
Ford,C-Class,2003,184374,2,1000.0
BMW,Elantra,2022,164937,1,20655.15
Ford,Civic,2010,142717,2,19906.15
Honda,Elantra,2016,124771,2,1000.0
Mercedes,C-Class,2005,43000,1,19553.0
Honda,A4,2004,31737,5,7308.15
Audi,Sorento,2019,16485,2,25983.75
Ford,Altima,2001,43565,1,20397.75
Audi,X5,2005,161594,2,1000.0
Nissan,Elantra,2021,124614,3,38178.3
Chevrolet,A4,2010,70155,5,19298.25
Toyota,Altima,2015,191240,4,8524.0
Audi,Civic,2015,57487,2,6501.65
Chevrolet,Sorento,2000,134948,3,1000.0
BMW,Altima,2008,17342,4,32454.9
Honda,Impala,2005,45806,4,28345.7
BMW,C-Class,2015,53770,2,12895.5
Toyota,Altima,2002,83623,1,16928.85
Ford,X5,2019,108177,2,1649.15
Nissan,A4,2003,136026,3,1000.0
Chevrolet,Sorento,2018,80629,4,8965.55
Nissan,F-150,2002,125993,2,1000.0
Mercedes,Altima,2018,188675,1,1000.0
Audi,Corolla,2019,131944,2,30714.8
Ford,X5,2006,110947,5,31438.65
Mercedes,X5,2019,31399,1,10584.05
Kia,Corolla,2008,133177,3,6380.15
Audi,Impala,2000,114575,4,1000.0
BMW,F-150,2007,115904,2,19600.8
Honda,C-Class,2006,191178,1,9314.1
Chevrolet,A4,2017,35678,5,33370.1
Toyota,Sorento,2007,81218,1,1000.0
Toyota,A4,2000,68230,5,18085.5
BMW,F-150,2010,79055,3,1000.0
Hyundai,A4,2017,192445,4,13162.75
Toyota,Corolla,2022,167552,3,5514.4
Chevrolet,X5,2009,77258,2,16806.1
BMW,A4,2002,44986,1,13189.7
Ford,Elantra,2006,160232,5,1000.0
Toyota,Altima,2015,90595,5,31094.25
Nissan,F-150,2015,106358,1,12046.1
BMW,Impala,2019,69929,1,1000.0
Chevrolet,Elantra,2016,78506,2,23279.7
Nissan,Corolla,2001,39911,3,26248.45
Audi,Civic,2000,92127,5,1000.0
Audi,Corolla,2015,167893,2,24042.35
Toyota,Impala,2011,196607,3,1000.0
Nissan,Impala,2004,118453,2,1000.0
Honda,Elantra,2004,89458,5,30859.1
Audi,Altima,2022,17175,1,3087.25
Honda,F-150,2008,124235,1,21680.25
Ford,C-Class,2008,59771,3,1000.0
BMW,X5,2002,132157,4,20479.15
Mercedes,Elantra,2018,126300,3,2701.0
Chevrolet,Impala,2015,91925,4,8152.75
BMW,Civic,2015,71358,2,8946.1
Chevrolet,Sorento,2002,153399,2,16256.05
Nissan,Impala,2019,52057,5,36665.15
Ford,Altima,2021,11150,4,26392.5
Kia,Altima,2000,9425,5,27916.75
Toyota,Impala,2019,21032,1,30736.4
Chevrolet,Altima,2010,7198,4,6353.1
Chevrolet,Elantra,2016,196572,3,23698.4
Nissan,Impala,2007,189466,1,7537.7
Honda,Impala,2003,156151,1,22041.45
BMW,F-150,2005,172292,3,17976.4
Kia,X5,2007,177946,1,1000.0
Hyundai,Civic,2019,149931,4,12129.45
Toyota,Altima,2002,186532,5,1000.0
Mercedes,F-150,2015,167491,1,24383.45
Hyundai,C-Class,2002,123865,4,1000.0
BMW,C-Class,2017,144777,2,5504.15
Toyota,A4,2013,178952,4,4486.4
Chevrolet,Elantra,2017,28236,5,10821.2
Mercedes,Elantra,2001,92955,4,1000.0
Honda,Corolla,2021,108145,3,12611.75
Kia,Civic,2002,151430,5,7312.5
Honda,Impala,2015,99914,2,32907.3
Ford,Altima,2008,107870,3,24235.5
Nissan,Civic,2003,121243,4,9904.85
Toyota,A4,2000,19596,5,33123.2
Honda,Corolla,2003,169644,2,1000.0
Hyundai,F-150,2000,137351,3,1000.0
Nissan,Civic,2013,199269,2,1000.0
Honda,F-150,2020,116496,4,35007.2
Audi,C-Class,2015,135273,2,14403.35
Ford,Altima,2019,198588,1,6382.6
BMW,A4,2007,143155,3,13682.25
Kia,Impala,2006,125674,2,3206.3
Ford,Altima,2002,125307,4,30413.65
Nissan,X5,2016,153843,4,1000.0
Audi,Elantra,2000,166047,2,19576.65
Toyota,A4,2015,181720,4,7211.0
Hyundai,Civic,2011,184357,5,1000.0
Kia,Altima,2018,24063,5,45310.85
Kia,Sorento,2021,72642,5,12105.9
Ford,Elantra,2022,95093,1,20542.35
Nissan,Elantra,2021,173671,2,1000.0
Toyota,Sorento,2013,187992,1,1000.0
Chevrolet,Corolla,2005,164601,4,8621.95
Audi,Corolla,2005,40954,1,1000.0
Chevrolet,Sorento,2012,32856,4,1000.0
Hyundai,X5,2018,7573,4,12072.35
Toyota,C-Class,2021,40367,3,24020.65
Toyota,Sorento,2007,104608,5,21273.6
Audi,C-Class,2001,65774,4,6149.3
Mercedes,Altima,2020,28752,3,3806.4
Chevrolet,X5,2000,60029,5,8782.55
Honda,A4,2014,153757,4,33229.15
Kia,C-Class,2000,135282,4,24483.9
Mercedes,Elantra,2004,56693,1,1000.0
Honda,Altima,2015,121739,1,29272.05
Nissan,Elantra,2018,60961,5,19250.95
Audi,X5,2003,131678,4,19626.1
Nissan,C-Class,2002,79532,2,12749.4
Kia,F-150,2016,86994,1,1000.0
BMW,X5,2016,61133,5,22766.35
Honda,X5,2011,66268,4,35824.6
Mercedes,F-150,2013,174315,4,1000.0
Honda,Altima,2020,193456,2,25053.2
Honda,C-Class,2005,36653,5,1000.0
Audi,C-Class,2002,162729,4,10196.55
Nissan,Elantra,2008,176024,1,1000.0
Chevrolet,X5,2004,158252,2,8004.4
BMW,X5,2016,126829,5,13851.55
Audi,Impala,2013,133377,2,1469.15
Hyundai,A4,2020,6622,1,1000.0
Audi,X5,2002,53756,5,10368.2
Kia,Civic,2000,45809,2,7261.55
BMW,A4,2019,21725,3,4226.75
Toyota,Civic,2020,197468,1,1000.0
Hyundai,C-Class,2022,56226,1,1724.7
Ford,A4,2000,86182,1,12968.9
Audi,X5,2002,34402,3,16513.9
Honda,F-150,2017,9263,3,20709.85
Chevrolet,Elantra,2009,182900,4,17258.0
Toyota,Civic,2021,52924,2,1000.0
Audi,A4,2002,79182,4,1000.0
Audi,X5,2007,195124,2,1000.0
Mercedes,A4,2013,147736,3,7413.2
Mercedes,X5,2017,40737,3,21335.15
Toyota,X5,2014,106332,4,13721.4
Nissan,X5,2021,94563,5,14244.85
Mercedes,Impala,2022,165445,4,1000.0
Honda,Elantra,2001,172469,2,14080.55
Hyundai,F-150,2009,133575,4,25896.25
Ford,F-150,2001,106371,1,20600.45
BMW,A4,2016,43709,2,35575.55
Ford,A4,2007,197192,2,8856.4
Ford,X5,2000,155322,5,1000.0
BMW,Impala,2008,26172,3,8039.4
Mercedes,X5,2010,16555,2,1000.0
Toyota,Impala,2021,58276,3,1000.0
BMW,X5,2015,62492,4,6788.4
Kia,Civic,2006,189074,1,1000.0
Nissan,Civic,2009,94599,5,14570.05
Hyundai,C-Class,2022,160834,3,1000.0
Chevrolet,X5,2002,16046,2,1000.0
Mercedes,Elantra,2017,121021,3,1517.95
Nissan,C-Class,2012,164841,2,1000.0
BMW,A4,2006,189374,3,1000.0
Kia,Altima,2003,159222,2,24987.9
Chevrolet,X5,2012,9853,4,13773.35
Hyundai,Civic,2019,125900,2,16837.0
Hyundai,Altima,2000,157864,2,1000.0
Mercedes,Impala,2007,64129,1,1000.0
BMW,Altima,2013,119130,2,1000.0
Nissan,Elantra,2015,168059,1,1000.0
Toyota,X5,2013,151922,5,12243.9
Nissan,F-150,2011,148184,1,17985.8
Nissan,Altima,2018,126789,4,24814.55
Hyundai,F-150,2022,160130,1,14372.5
Toyota,Impala,2014,181492,5,7421.4
Toyota,C-Class,2001,43890,4,27577.5
Mercedes,F-150,2001,71017,3,13211.15
Chevrolet,C-Class,2022,183376,3,4614.2
Audi,Civic,2021,168993,1,26970.35
Ford,X5,2018,137596,1,7174.2
Ford,Altima,2021,105424,5,18947.8
Hyundai,Civic,2021,20048,5,37916.6
Audi,Civic,2016,171183,2,1000.0
Chevrolet,Sorento,2019,173976,5,38996.2
Audi,Corolla,2009,59912,2,28677.4
Mercedes,Elantra,2005,39008,4,11267.6
Nissan,C-Class,2014,136132,1,1000.0
Hyundai,Sorento,2021,88559,4,16523.05
Toyota,Corolla,2010,60337,5,1000.0
Hyundai,Elantra,2004,115616,4,2571.2
Ford,C-Class,2000,18350,4,15814.5
Chevrolet,X5,2007,29354,4,28960.3
Audi,Elantra,2020,50186,5,44161.7
Chevrolet,Altima,2011,33145,4,21827.75
Mercedes,Civic,2011,170092,2,1000.0
Hyundai,Corolla,2004,91123,5,29918.85
BMW,Corolla,2006,25581,4,1000.0
Hyundai,Corolla,2003,93929,5,15145.55
Toyota,C-Class,2005,28051,3,17018.45
Hyundai,Altima,2012,56474,2,1000.0
Kia,Elantra,2019,96748,4,1000.0
Mercedes,Civic,2014,130995,3,9545.25
Honda,Altima,2002,74626,3,1000.0
Mercedes,Sorento,2022,11960,5,32210.0
Audi,X5,2007,171844,3,29196.8
Honda,F-150,2019,157592,2,15206.4
Audi,Altima,2015,185553,2,2581.35
Audi,Sorento,2012,41408,1,1000.0
Toyota,Civic,2017,99006,2,16601.7
Toyota,F-150,2009,62134,3,1000.0
Nissan,F-150,2018,156563,2,1000.0
Ford,Altima,2016,137413,5,1000.0
Nissan,Corolla,2018,180695,1,15154.25
Nissan,A4,2022,95327,3,9626.65
Ford,Civic,2004,136410,1,12951.5
BMW,Corolla,2020,148326,3,1000.0
Honda,Civic,2022,187932,5,32632.4
Chevrolet,A4,2008,16344,1,27317.8
Nissan,X5,2011,137822,4,19643.9
Hyundai,A4,2020,190828,3,2827.6
Hyundai,Impala,2000,72957,4,1000.0
Audi,Altima,2000,110423,1,1000.0
Ford,Altima,2014,63053,4,36044.35
Audi,Sorento,2001,151968,4,22516.6
Kia,Corolla,2021,191833,1,1000.0
Kia,Sorento,2015,198624,5,19132.8
Chevrolet,Impala,2007,82454,4,4404.3
Toyota,A4,2012,95600,4,1000.0
Toyota,Altima,2020,127732,5,17991.4
Ford,C-Class,2000,164007,4,1000.0
Ford,A4,2015,42641,4,1000.0
Nissan,A4,2006,34711,4,32174.45
Kia,Impala,2004,75342,2,22325.9
Nissan,X5,2021,111896,5,34709.2
Toyota,Civic,2022,148254,4,25473.3
Honda,Impala,2002,92833,5,1000.0
Honda,Civic,2011,61276,3,20689.2
Ford,Altima,2015,24541,3,16855.95
Audi,Impala,2018,99457,4,13881.15
Toyota,Civic,2004,49813,5,15199.35
Honda,Sorento,2021,173270,5,1478.5
Toyota,Impala,2013,144892,5,21153.4
Mercedes,Altima,2004,29070,2,29908.5
Hyundai,Impala,2014,147194,3,22272.3
Kia,Altima,2016,85559,5,16725.05
Nissan,Impala,2013,46786,5,32291.7
Toyota,Civic,2019,142809,2,6358.55
Hyundai,X5,2004,41062,2,27298.9
Mercedes,Elantra,2011,190309,5,1000.0
Nissan,Civic,2015,56571,1,1000.0
Toyota,Corolla,2015,30510,5,14546.5
Ford,F-150,2020,24426,5,38981.7
Hyundai,X5,2006,42265,2,2868.75
Nissan,Sorento,2003,153922,2,21813.9
Toyota,A4,2000,71150,5,11768.5
Hyundai,Civic,2004,92312,5,1000.0
Mercedes,Impala,2022,94613,5,25287.35
Toyota,Civic,2009,79910,2,12049.5
Toyota,C-Class,2021,57375,5,28041.25
Toyota,X5,2004,126826,5,13724.7
Chevrolet,Elantra,2003,40435,4,24883.25
Ford,Sorento,2001,101443,1,8030.85
Mercedes,C-Class,2019,193204,3,25527.8
Nissan,Altima,2009,139055,1,1000.0
Chevrolet,C-Class,2018,156734,4,13825.3
Audi,Civic,2000,28510,3,24748.5
Chevrolet,Sorento,2004,177070,5,5983.5
Kia,Civic,2012,192918,4,10167.1
Kia,Altima,2003,99071,5,16989.45
Toyota,A4,2015,11640,2,6831.0
Chevrolet,Sorento,2015,49547,4,1000.0
Audi,A4,2022,59620,2,13130.0
Chevrolet,X5,2001,151389,4,23535.55
Ford,X5,2016,120608,4,5413.6
Ford,A4,2019,12564,2,12277.8
Audi,X5,2011,163417,3,7365.15
Chevrolet,Sorento,2017,118824,1,15868.8
Hyundai,Impala,2002,84273,5,2592.35
Ford,Corolla,2000,79859,4,1000.0
Ford,X5,2000,115017,5,6974.15
Honda,X5,2018,128618,2,27045.1
Chevrolet,Civic,2010,188465,5,1000.0
Ford,A4,2004,130341,2,1000.0
Mercedes,F-150,2011,34430,5,10144.5
Chevrolet,Elantra,2002,32788,1,1000.0
Kia,C-Class,2000,184615,1,1000.0
Honda,X5,2000,149991,1,10792.45
Ford,C-Class,2007,74346,1,1000.0
Honda,Sorento,2009,101122,1,5563.9
Kia,F-150,2010,44974,1,30978.3
Audi,Elantra,2011,112309,2,1000.0
Audi,A4,2012,21371,4,4499.45
Chevrolet,Corolla,2011,50084,5,3790.8
Kia,Elantra,2013,165701,1,24874.95
BMW,Elantra,2001,187256,2,1000.0
BMW,Corolla,2018,66916,2,34370.2
Chevrolet,Impala,2017,78972,2,12182.4
Toyota,A4,2002,198259,4,11805.05
Honda,Civic,2022,17984,5,14033.8
Honda,C-Class,2016,38039,4,12636.05
Audi,X5,2007,90431,3,16660.45
BMW,Elantra,2009,88691,2,1000.0
Nissan,Sorento,2001,63606,3,8100.7
Ford,Corolla,2018,146688,1,1000.0
Ford,C-Class,2008,107665,1,18898.75
Ford,F-150,2006,110373,4,1000.0
Audi,Corolla,2003,186144,5,1000.0
Kia,F-150,2020,29574,3,17831.3
Hyundai,A4,2017,139502,5,19346.9
BMW,Elantra,2012,148748,4,31931.6
BMW,Sorento,2010,146888,1,16110.6
Nissan,X5,2003,37733,5,37829.35
Honda,F-150,2020,7050,5,13354.5
Toyota,C-Class,2003,114996,1,3043.2
Chevrolet,Impala,2009,38933,3,1000.0
Honda,A4,2004,29951,1,14222.45
Kia,Impala,2008,37413,5,14143.35
Chevrolet,A4,2002,170873,3,19966.35
BMW,Civic,2016,191691,3,1000.0
Kia,C-Class,2002,168985,1,1000.0
Chevrolet,Impala,2015,117573,5,1000.0
Nissan,Sorento,2003,176672,4,1000.0
Nissan,Elantra,2017,193847,5,1000.0
Mercedes,Corolla,2016,171472,2,1000.0
Hyundai,X5,2006,140566,4,11768.7
Nissan,Elantra,2022,127744,3,34703.8
BMW,Elantra,2004,94431,4,4495.45
Toyota,A4,2011,48001,3,32722.95
Ford,Sorento,2016,72364,3,33114.8
Mercedes,A4,2022,129988,4,6350.6
Ford,Altima,2012,50028,3,23620.6
Hyundai,F-150,2022,173645,3,27140.75
Chevrolet,X5,2002,136878,2,1000.0
Audi,F-150,2008,129343,5,8654.85
Nissan,Corolla,2016,192710,5,1000.0
Toyota,Altima,2016,133301,2,27288.95
Hyundai,C-Class,2019,131295,4,30904.25
Ford,Corolla,2015,165829,1,20256.55
Mercedes,Corolla,2021,39636,1,17800.2
Nissan,Civic,2012,184352,1,10736.4
BMW,X5,2018,29262,2,1000.0
Nissan,A4,2016,85435,2,6820.25
Mercedes,Sorento,2003,198283,3,3258.85
Mercedes,F-150,2011,190914,1,14658.3
Audi,Corolla,2008,133583,4,24416.85
Nissan,F-150,2018,193051,4,25171.45
Nissan,F-150,2011,174269,1,6150.55
Audi,C-Class,2008,46844,1,17907.8
Kia,X5,2006,69754,1,1000.0
Kia,X5,2013,170229,2,2054.55
Chevrolet,Impala,2019,82129,2,1000.0
Kia,Elantra,2018,45042,2,17318.9
Honda,X5,2014,66665,5,35499.75
Nissan,F-150,2015,121953,4,8271.35
Toyota,A4,2020,163448,4,17362.6
Nissan,F-150,2004,191626,3,1000.0
Honda,A4,2002,150271,2,6221.45
Honda,Impala,2011,123533,5,1000.0
Ford,A4,2019,187020,5,5794.0
Nissan,X5,2020,78781,4,12933.95
Hyundai,C-Class,2003,71262,2,17357.9
Honda,A4,2020,51600,3,36243.0
Toyota,F-150,2022,81898,2,10642.1
Audi,Sorento,2015,198555,1,25043.25
Chevrolet,X5,2006,154369,2,1000.0
Ford,Sorento,2012,35448,1,4470.6
Audi,Altima,2020,31172,1,25507.4
Ford,Altima,2009,178946,3,3743.7
Toyota,F-150,2006,12657,4,27863.15
Mercedes,Altima,2013,161497,2,1000.0
Nissan,Elantra,2004,162757,1,1000.0
BMW,Impala,2002,117855,2,1000.0
Hyundai,X5,2022,160650,4,22745.5
Audi,Sorento,2010,164903,4,27068.85
Nissan,F-150,2010,12906,5,10091.7
Hyundai,Elantra,2017,66413,4,12328.35
Mercedes,F-150,2014,59028,3,31261.6
BMW,Elantra,2011,12287,1,1000.0
Hyundai,Altima,2008,38660,5,2583.0
Hyundai,Altima,2009,65504,3,4751.8
Audi,A4,2011,195792,2,7352.4
Kia,Civic,2016,107979,1,11646.05
BMW,F-150,2005,39701,4,23911.95
Nissan,A4,2006,88300,1,1000.0
Mercedes,X5,2013,153746,2,31069.7
BMW,A4,2012,88560,5,21989.0
Toyota,Corolla,2007,159946,5,11738.7
Kia,Altima,2009,48642,5,23557.9
Toyota,Corolla,2008,70160,4,6079.0
Mercedes,F-150,2017,22602,3,19309.9
Audi,Sorento,2001,108320,3,19789.0
Audi,Sorento,2004,93801,1,1000.0
Mercedes,X5,2004,30931,4,1000.0
Ford,A4,2005,99377,5,32658.15
Mercedes,Sorento,2018,34192,5,41376.4
Kia,Elantra,2007,51542,2,25918.9
Honda,Elantra,2015,132015,2,7407.25
Audi,X5,2012,47520,5,2862.0
Chevrolet,Impala,2000,69772,5,22413.4
Kia,Altima,2021,194834,4,1000.0
Kia,A4,2019,55106,3,33535.7
Kia,F-150,2016,86121,2,1000.0
Hyundai,C-Class,2006,30559,3,22303.05
Kia,C-Class,2012,110595,4,8179.25
Audi,C-Class,2003,38742,5,18456.9
Honda,Sorento,2003,74669,3,30414.55
Honda,Impala,2005,157826,5,13790.7
Kia,Impala,2018,140044,5,1000.0
Toyota,A4,2011,75831,1,28365.45
Audi,A4,2021,117217,3,38591.15
Audi,Impala,2006,46873,3,33564.35
BMW,X5,2009,111532,5,24864.4
Nissan,A4,2018,131267,4,35366.65
Ford,X5,2006,145975,1,20330.25
Ford,Corolla,2002,139092,5,22261.4
Toyota,Elantra,2012,46755,2,36021.25
Ford,Altima,2012,90956,2,15538.2
BMW,A4,2017,91988,1,34160.6
Mercedes,Impala,2019,50648,4,21945.6
Ford,Elantra,2007,130991,5,1000.0
Audi,Elantra,2008,145588,3,14914.6
Mercedes,Civic,2006,120005,1,2679.75
Ford,Impala,2000,7396,4,3310.2
Audi,Altima,2002,89082,3,19047.9
Audi,Impala,2012,155201,2,1111.95
Kia,A4,2016,133322,2,18629.9
Honda,F-150,2000,137663,3,7043.85
